,s_property_type,s_places,d_currency,c_price_aprox_local_currency,c_surface_total_in_m2,c_surface_covered_in_m2,c_price_per_m2,c_latitud,c_longitud
5315,house,MagdalenaContreras,0,1579580.14,120.0,120.0,13283.33333,19.305093,-99.247242
5316,apartment,Cuauhtemoc,0,729341.9,54.0,54.0,13629.62963,19.407816,-99.129707
5319,apartment,BenitoJuarez,0,1288239.68,80.0,80.0,16250.0,19.364993,-99.155739
5320,apartment,Cuajimalpa,0,11349110.96,229.0,229.0,50000.0,19.392937,-99.263313
5321,apartment,VenustianoCarranza,0,1694675.0,68.0,68.0,24921.691176470587,19.4182972,-99.1260675
5322,apartment,Iztapalapa,0,1090049.06,80.0,80.0,13750.0,19.389717,-99.05073
5323,apartment,BenitoJuarez,0,1714349.82,90.0,90.0,19222.22222,19.401507,-99.14682
5324,house,Cuajimalpa,0,4360196.25,330.0,330.0,13333.33333,19.355751,-99.299347
5325,apartment,Cuauhtemoc,0,520547.8,65.0,65.0,8081.538462,19.44365,-99.141269
5328,apartment,BenitoJuarez,0,1466611.4,60.0,60.0,24666.66667,19.392025,-99.135302
5331,apartment,Cuauhtemoc,0,6913541.34,115.0,115.0,60652.17391,19.4195256,-99.162549
5332,apartment,BenitoJuarez,0,3765624.01,110.0,110.0,34545.45455,19.37717,-99.167282
5333,apartment,BenitoJuarez,0,1456701.96,67.0,67.0,21940.29851,19.395835,-99.135191
5334,apartment,Coyoacan,0,538771.55,58.0,58.0,9373.965517,19.329109,-99.127632
5335,apartment,Coyoacan,0,1132660.09,80.0,80.0,14287.5,19.3268,-99.118822
5341,apartment,MiguelHidalgo,0,16548927.12,200.0,200.0,83500.0,19.433173,-99.1863574
5342,apartment,Tlalpan,0,8425104.12,147.0,147.0,57823.12925,19.3042378257,-99.2222929001
5343,apartment,BenitoJuarez,0,1159110.48,95.0,95.0,12312.54737,19.39942,-99.141673
5344,apartment,BenitoJuarez,0,6414209.9,190.0,190.0,33758.99947368421,19.38724,-99.167509
5346,apartment,BenitoJuarez,0,3002589.69,126.0,126.0,24047.61905,19.39177,-99.159996
5348,apartment,Azcapotzalco,0,2809476.8,80.0,80.0,35118.46,19.4653758,-99.1589568
5349,apartment,BenitoJuarez,0,2972861.16,95.0,95.0,31578.94737,19.394073,-99.153915
5350,apartment,Cuauhtemoc,0,896668.9,75.0,75.0,12061.86667,19.456208,-99.126229
5351,house,Tlalpan,0,2328741.13,120.0,120.0,19583.33333,19.296821,-99.170847
5352,house,BenitoJuarez,0,2779294.05,260.0,260.0,10787.17692,19.360285,-99.148336
5354,house,Tlalpan,0,2477384.14,237.0,237.0,10548.52321,19.298168,-99.113106
5355,apartment,Cuauhtemoc,0,1219864.01,90.0,90.0,13677.77778,19.461871,-99.129227
5356,apartment,VenustianoCarranza,0,1460045.92,73.0,73.0,20000.62904109589,19.4495981,-99.1246689
5357,apartment,Tlahuac,0,317105.1,56.0,56.0,5714.285714,19.304038,-99.047919
5361,apartment,Coyoacan,0,830419.16,70.0,70.0,11971.42857,19.33795,-99.123458
5363,house,Coyoacan,0,14966949.82,499.0,499.0,30260.52104,19.336697,-99.152534
5364,apartment,MiguelHidalgo,0,3296624.28,120.0,120.0,27716.08333,19.428324,-99.176337
5365,house,AlvaroObregon,0,2328741.13,310.0,310.0,7580.645161,19.34795,-99.234288
5366,apartment,Iztacalco,0,556323.45,70.0,70.0,8018.128571,19.383958,-99.101064
5367,apartment,Cuauhtemoc,0,1288239.68,65.0,65.0,20000.0,19.452253,-99.124704
5369,apartment,MiguelHidalgo,0,3071956.38,90.0,90.0,34444.44444,19.432657,-99.177444
5372,apartment,Cuauhtemoc,0,6371832.47,143.0,143.0,44965.03497,19.417661,-99.177753
5373,house,VenustianoCarranza,0,926482.25,90.0,90.0,10388.22222,19.410177,-99.08268
5374,apartment,AlvaroObregon,0,6482374.16,136.0,136.0,48088.23529,19.3583176,-99.189399
5375,apartment,BenitoJuarez,0,1486430.48,90.0,90.0,16666.66667,19.370046,-99.146155
